## RECSRecommendations Upload File
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.
## RECS
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.ctaName,entity.custom2,entity.custom3,entity.custom4,entity.custom5,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10,...
personal-loan-statement,Personal Loan,PL,,https://www.axisbank.com/images/default-source/progress-with-us_new/how-to-check-personal-loan-statements-300x200.jpg?sfvrsn=5604e156_2,,https://www.axisbank.com/progress-with-us-articles/loans/personal-loan/personal-loan-statement,,,Check your Personal Loan statement now!,,,,,,,,,,
personal-loan-for-cibil-score-of-550,Personal Loan,PL,,https://www.axisbank.com/images/default-source/progress-with-us_new/personal-loan-for-cibil-score-300x200.jpg?sfvrsn=fe64e156_2,,https://www.axisbank.com/progress-with-us-articles/loans/personal-loan/personal-loan-for-cibil-score-of-550,,,Personal Loan for CIBIL Score of 550,,,,,,,,,,
enjoy-festive-season-travel-perks-with-credit-card,Credit Card,CC,,https://www.axisbank.com/images/default-source/progress-with-us_new/festive-perks-with-your-credit-card-300x200.jpg?sfvrsn=453ae056_2,,https://www.axisbank.com/progress-with-us-articles/cards/credit-card/enjoy-festive-season-travel-perks-with-credit-card,,,Avail lounge access & Travel Insurance Credit Card perks,,,,,,,,,,
how-to-maximize-credit-card-rewards-during-festivals,Credit Card,CC,,https://www.axisbank.com/images/default-source/progress-with-us_new/how-to-make-the-most-of-credit-cards-during-the-festive-season-300x200.jpg?sfvrsn=6046e056_2,,https://www.axisbank.com/progress-with-us-articles/cards/credit-card/how-to-maximize-credit-card-rewards-during-festivals,,,Unlock festive savings with your Credit Card,,,,,,,,,,
cashback-vs-rewards-points-in-credit-card,Credit Card,CC,,https://www.axisbank.com/images/default-source/progress-with-us_new/what-is-the-difference-between-rewards-and-cashback@2x-300x200.jpg?sfvrsn=98d01c56_4,,https://www.axisbank.com/progress-with-us-articles/cards/credit-card/cashback-vs-rewards-points-in-credit-card,,,Differences between rewards and cashback on Credit Cards,,,,,,,,,,
how-to-check-credit-card-status,Credit Card,CC,,https://www.axisbank.com/images/default-source/progress-with-us_new/how-to-check-credit-card-status-300x200.jpg?sfvrsn=cbdbf956_2,,https://www.axisbank.com/progress-with-us-articles/managing-credit/how-to-check-credit-card-status,,,How to Check your Credit Card Application Status?,,,,,,,,,,
credit-card-activation,Credit Card,CC,,https://www.axisbank.com/images/default-source/progress-with-us_new/managing-creditcredit-card-activation-300x200-8-3.jpg?sfvrsn=eadff956_2,,https://www.axisbank.com/progress-with-us-articles/managing-credit/credit-card-activation,,,How To Activate a Credit Card? - Step-By-Step Guide,,,,,,,,,,
pros-and-cons-of-increasing-your-credit-card-limit,Credit Card,CC,,https://www.axisbank.com/images/default-source/progress-with-us_new/pros-and-cons-of-increasing@2x-300x200.jpg?sfvrsn=cbd01c56_4,,https://www.axisbank.com/progress-with-us-articles/cards/credit-card/pros-and-cons-of-increasing-your-credit-card-limit,,,Pros and cons of increasing your Credit Card limit,,,,,,,,,,
types-of-mortgage,Home Loan,HL,,https://www.axisbank.com/images/default-source/progress-with-us_new/types-of-mortgage-300x200.jpg?sfvrsn=40a8f856_2,,https://www.axisbank.com/progress-with-us-articles/loans/home-loan/types-of-mortgage,,,Types of Mortgage,,,,,,,,,,
pledge-vs-hypothecation-vs-mortgage,Home Loan,HL,,https://www.axisbank.com/images/default-source/progress-with-us_new/pledge-vs-hypothecation-vs-mortgage-300x200.jpg?sfvrsn=2fe8f856_2,,https://www.axisbank.com/progress-with-us-articles/loans/home-loan/pledge-vs-hypothecation-vs-mortgage,,,Pledge Vs Hypothecation Vs Mortgage,,,,,,,,,,
mortgage-process,Home Loan,HL,,https://www.axisbank.com/images/default-source/progress-with-us_new/mortgage-process_300x200.jpg?sfvrsn=1bebf856_2,,https://www.axisbank.com/progress-with-us-articles/loans/home-loan/mortgage-process,,,Process for a Mortgage Loan,,,,,,,,,,
mortgage-without-possession,Home Loan,HL,,https://www.axisbank.com/images/default-source/progress-with-us_new/mortgage-without-possession-meaning_300x200.jpg?sfvrsn=4c4f856_0,,https://www.axisbank.com/progress-with-us-articles/loans/home-loan/mortgage-without-possession,,,What is Mortgage without possession?,,,,,,,,,,
buying-new-home-in-the-new-year-2025,Home Loan,HL,,https://www.axisbank.com/images/default-source/progress-with-us_new/16-10-2024-kickstart-your-new-year-with-a-new-home-explore-home-loan-options-300x200.jpg?sfvrsn=85ae656_2,,https://www.axisbank.com/progress-with-us-articles/loans/home-loan/buying-new-home-in-the-new-year-2025,,,Your guide to Home Loan options,,,,,,,,,,
why-you-should-buy-property-on-dhanteras-2024,Home Loan,HL,,https://www.axisbank.com/images/default-source/progress-with-us_new/16-10-2024-dhanteras-2024-why-its-a-good-time-to-buy-property-300x200.jpg?sfvrsn=664be056_2,,https://www.axisbank.com/progress-with-us-articles/loans/home-loan/why-you-should-buy-property-on-dhanteras-2024,,,Dhanteras 2024: Perfect time to invest in property,,,,,,,,,,
